FID	IID	Sex	SVL..cm.	RHL..cm.	relRHL.SVL	relRHL.SVL.Sex
SD-12-0206_S207_L003	SD-12-0206_S207_L003	F	6	2.6	0.055130195	0.096398084
SD-12-0207_S244_L003	SD-12-0207_S244_L003	M	5.3	2.45	0.167323143	0.116206515
SD-12-0214_S237_L003	SD-12-0214_S237_L003	M	6.3	2.7	0.042761788	-0.011409265
SD-12-0222_S166_L002	SD-12-0222_S166_L002	M	6.2	2.7	0.080217924	0.026352313
SD-12-0225_S163_L002	SD-12-0225_S163_L002	M	5.5	2.35	-0.007589128	-0.059316641
SD-12-0227_S60_L001	SD-12-0227_S60_L001	M	6.2	2.65	0.030217924	-0.023647687
SD-12-0230_S374_L004	SD-12-0230_S374_L004	F	6.9	2.8	-0.081975024	-0.043456118
SD-12-0245_S161_L002	SD-12-0245_S161_L002	M	6.2	2.65	0.030217924	-0.023647687
SD-12-0250_S167_L002	SD-12-0250_S167_L002	M	5.4	2.35	0.029867007	-0.021555063
SD-12-0268_S158_L002	SD-12-0268_S158_L002	M	5.7	2.6	0.167498601	0.115160203
SD-12-0271_S231_L003	SD-12-0271_S231_L003	M	6.1	2.75	0.167674059	0.114113891
SD-12-0272_S232_L003	SD-12-0272_S232_L003	M	5.9	2.6	0.09258633	0.039637047
SD-12-0280_S378_L004	SD-12-0280_S378_L004	F	6.2	2.8	0.180217924	0.220874928
SD-12-0285_S335_L004	SD-12-0285_S335_L004	M	6.6	3	0.230393382	0.175306001
SD-12-0290_S380_L004	SD-12-0290_S380_L004	F	7.2	2.95	-0.044343431	-0.006740852
SD-12-0294_S373_L004	SD-12-0294_S373_L004	F	6.3	2.6	-0.057238212	-0.01688665
SD-12-0304_S164_L002	SD-12-0304_S164_L002	M	6.6	2.8	0.030393382	-0.024693999
SD-12-0325_S159_L002	SD-12-0325_S159_L002	M	5.6	2.45	0.054954736	0.002921781
SD-12-0329P_S334_L004	SD-12-0329P_S334_L004	M	5.5	2.6	0.242410872	0.190683359
SD-12-0332_S330_L004	SD-12-0332_S330_L004	F	7	2.6	-0.31943116	-0.281217696
SD-12-0341_S240_L003	SD-12-0341_S240_L003	M	5.4	2.55	0.229867007	0.178444937
SD-12-0352_S322_L004	SD-12-0352_S322_L004	F	5.7	2.4	-0.032501399	0.009682818
SD-13-0053_S286_L003	SD-13-0053_S286_L003	F	7.3	2.2	-0.831799566	-0.79450243
SD-13-0057_S285_L003	SD-13-0057_S285_L003	F	5.3	1.9	-0.382676857	-0.33927087
SD-13-0070_S171_L002	SD-13-0070_S171_L002	M	6.6	2.2	-0.569606618	-0.624693999
SD-13-0077_S278_L003	SD-13-0077_S278_L003	F	6.1	2.1	-0.482325941	-0.441363494
SD-13-0098_S281_L003	SD-13-0098_S281_L003	F	6.2	2.05	-0.569782076	-0.529125072
SD-13-0122_S283_L003	SD-13-0122_S283_L003	F	5.8	1.95	-0.519957535	-0.47807876
SD-13-0124_S173_L002	SD-13-0124_S173_L002	M	5.7	2	-0.432501399	-0.484839797
SD-13-0178_S282_L003	SD-13-0178_S282_L003	F	5.4	1.9	-0.420132993	-0.377032448
SD-13-0186_S169_L002	SD-13-0186_S169_L002	M	5.3	1.85	-0.432676857	-0.483793485
SD-13-0188_S362_L004	SD-13-0188_S362_L004	F	6	2.15	-0.394869805	-0.353601916
SD-13-0209_S288_L003	SD-13-0209_S288_L003	F	6.2	2.2	-0.419782076	-0.379125072
SD-13-0218_S279_L003	SD-13-0218_S279_L003	F	6.6	2.15	-0.619606618	-0.580171384
SD-13-0227_S170_L002	SD-13-0227_S170_L002	M	5.5	2	-0.357589128	-0.409316641
SD-13-0230_S172_L002	SD-13-0230_S172_L002	M	6.3	2.25	-0.407238212	-0.461409265
SD-13-0236_S260_L003	SD-13-0236_S260_L003	M	5.3	1.8	-0.482676857	-0.533793485
SD-13-0267_S284_L003	SD-13-0267_S284_L003	F	6.15	2.1	-0.501054009	-0.460244283
SD-13-0283_S259_L003	SD-13-0283_S259_L003	M	6.3	2.1	-0.557238212	-0.611409265
SD-13-0305_S258_L003	SD-13-0305_S258_L003	M	5.75	1.9	-0.551229467	-0.603720586
SD-14-0011_S287_L003	SD-14-0011_S287_L003	F	6.2	2.5	-0.119782076	-0.079125072
SD-14-0095_S280_L003	SD-14-0095_S280_L003	F	6.5	2.55	-0.182150483	-0.142409806
SD-15-0214_S262_L003	SD-15-0214_S262_L003	M	6.6	2.8	0.030393382	-0.024693999
SD-15-1135_S324_L004	SD-15-1135_S324_L004	F	6.6	2.6	-0.169606618	-0.130171384
SD-15-123450_S292_L004	SD-15-123450_S292_L004	F	7.2	2.8	-0.194343431	-0.156740852
SD-15-1352_S72_L001	SD-15-1352_S72_L001	M	4.7	2.2	0.142059955	0.092775983
SD-15-2205_S189_L002	SD-15-2205_S189_L002	F	6.9	3	0.118024976	0.156543882
SD-15-2552_S263_L003	SD-15-2552_S263_L003	M	6.6	2.8	0.030393382	-0.024693999
SD-15-3203_S365_L004	SD-15-3203_S365_L004	F	6.3	2.6	-0.057238212	-0.01688665
SD-15-3205_S293_L004	SD-15-3205_S293_L004	F	5.7	2.4	-0.032501399	0.009682818
SD-15-3301_S364_L004	SD-15-3301_S364_L004	F	6.8	2.7	-0.144518889	-0.10569454
SD-15-3312_S190_L002	SD-15-3312_S190_L002	F	5.6	2.5	0.104954736	0.147444396
SD-15-3333_S191_L002	SD-15-3333_S191_L002	F	7.2	3.3	0.305656569	0.343259148
SD-15-3415_S209_L003	SD-15-3415_S209_L003	F	6.3	2.5	-0.157238212	-0.11688665
SD-15-3420_S208_L003	SD-15-3420_S208_L003	F	6	2.4	-0.144869805	-0.103601916
SD-15-3432_S316_L004	SD-15-3432_S316_L004	F	6	2.1	-0.444869805	-0.403601916
SD-15-3452_S192_L002	SD-15-3452_S192_L002	F	5.9	2.5	-0.00741367	0.034159662
SD-15-4350_S179_L002	SD-15-4350_S179_L002	M	6.6	2.8	0.030393382	-0.024693999
SD-15-5031_S317_L004	SD-15-5031_S317_L004	F	6.7	2.8	-0.007062754	0.032067038
SD-15-5100_S261_L003	SD-15-5100_S261_L003	M	5.1	2.2	-0.007764587	-0.058270329
SD-15-5501_S291_L004	SD-15-5501_S291_L004	F	5.5	2.4	0.042410872	0.085205974
SD-16-0309_S363_L004	SD-16-0309_S363_L004	F	7.1	3.4	0.443112705	0.481020726
SD-16-0310_S289_L004	SD-16-0310_S289_L004	F	6.8	2.8	-0.044518889	-0.00569454
SD-16-0319_S290_L004	SD-16-0319_S290_L004	F	5.9	2.7	0.19258633	0.234159662
SD-17-0013_S178_L002	SD-17-0013_S178_L002	F	6.7	3	0.192937246	0.232067038
SD-17-0020_S210_L003	SD-17-0020_S210_L003	F	6.4	3	0.305305653	0.345351772
SD-17-0027_S307_L004	SD-17-0027_S307_L004	F	6	2.6	0.055130195	0.096398084
SD-17-0050_S327_L004	SD-17-0050_S327_L004	F	6	2.7	0.155130195	0.196398084
SD-17-0056_S176_L002	SD-17-0056_S176_L002	M	6.8	3	0.155481111	0.099782845
SD-17-0062_S177_L002	SD-17-0062_S177_L002	M	5.8	2.4	-0.069957535	-0.122601375
SD-17-0088_S175_L002	SD-17-0088_S175_L002	M	5.5	2.3	-0.057589128	-0.109316641
